timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701842603735,3829,HomePage,200,OK,Thread Group 1-65,text,true,,370600,116,70,70,https://www.aarong.com/,1339,0,445
1701842603707,4132,HomePage,200,OK,Thread Group 1-63,text,true,,370600,116,70,70,https://www.aarong.com/,1174,0,262
1701842603623,4300,HomePage,200,OK,Thread Group 1-57,text,true,,370600,116,70,70,https://www.aarong.com/,619,0,317
1701842603612,4697,HomePage,200,OK,Thread Group 1-56,text,true,,370600,116,70,70,https://www.aarong.com/,582,0,327
1701842603133,5176,HomePage,200,OK,Thread Group 1-22,text,true,,370600,116,70,70,https://www.aarong.com/,939,0,807
1701842603650,4819,HomePage,200,OK,Thread Group 1-59,text,true,,370600,116,70,70,https://www.aarong.com/,905,0,290
1701842602985,5519,HomePage,200,OK,Thread Group 1-2,text,true,,370600,116,70,70,https://www.aarong.com/,1590,0,966
1701842603538,5058,HomePage,200,OK,Thread Group 1-51,text,true,,370600,116,70,70,https://www.aarong.com/,1036,0,389
1701842602986,5616,HomePage,200,OK,Thread Group 1-11,text,true,,370600,116,70,70,https://www.aarong.com/,1187,0,941
1701842602987,5873,HomePage,200,OK,Thread Group 1-10,text,true,,370600,116,70,70,https://www.aarong.com/,1930,0,933
1701842603400,5561,HomePage,200,OK,Thread Group 1-41,text,true,,370600,116,70,70,https://www.aarong.com/,1528,0,554
1701842603090,5912,HomePage,200,OK,Thread Group 1-19,text,true,,370600,116,70,70,https://www.aarong.com/,1687,0,829
1701842603230,5774,HomePage,200,OK,Thread Group 1-29,text,true,,370600,116,70,70,https://www.aarong.com/,1351,0,722
1701842603036,5974,HomePage,200,OK,Thread Group 1-15,text,true,,370600,116,70,70,https://www.aarong.com/,1815,0,884
1701842602985,6117,HomePage,200,OK,Thread Group 1-5,text,true,,370600,116,70,70,https://www.aarong.com/,1634,0,941
1701842603075,6333,HomePage,200,OK,Thread Group 1-18,text,true,,370600,116,70,70,https://www.aarong.com/,1712,0,844
1701842603481,6010,HomePage,200,OK,Thread Group 1-47,text,true,,370600,116,70,70,https://www.aarong.com/,591,0,457
1701842602985,6536,HomePage,200,OK,Thread Group 1-4,text,true,,370600,116,70,70,https://www.aarong.com/,1579,0,941
1701842603607,5963,HomePage,200,OK,Thread Group 1-55,text,true,,370600,116,70,70,https://www.aarong.com/,1098,0,348
1701842603063,6543,HomePage,200,OK,Thread Group 1-17,text,true,,370600,116,70,70,https://www.aarong.com/,1810,0,857
1701842602985,6809,HomePage,200,OK,Thread Group 1-7,text,true,,370600,116,70,70,https://www.aarong.com/,1922,0,934
1701842603147,6661,HomePage,200,OK,Thread Group 1-23,text,true,,370600,116,70,70,https://www.aarong.com/,1417,0,780
1701842602986,6944,HomePage,200,OK,Thread Group 1-1,text,true,,370600,116,70,70,https://www.aarong.com/,1682,0,967
1701842603469,6545,HomePage,200,OK,Thread Group 1-46,text,true,,370600,116,70,70,https://www.aarong.com/,698,0,483
1701842603371,7029,HomePage,200,OK,Thread Group 1-39,text,true,,370601,116,70,70,https://www.aarong.com/,1329,0,549
